sample_id	fst_group	is_awassi
Awassi_01	Awassi	True
Awassi_02	Awassi	True
Awassi_03	Awassi	True
Awassi_04	Awassi	True
Awassi_05	Awassi	True
Awassi_06	Awassi	True
Awassi_07	Awassi	True
Awassi_08	Awassi	True
Awassi_09	Awassi	True
Awassi_10	Awassi	True
Asia_01	Asia	False
Asia_02	Asia	False
Asia_03	Asia	False
Asia_04	Asia	False
Asia_05	Asia	False
Asia_06	Asia	False
Asia_07	Asia	False
Asia_08	Asia	False
Asia_09	Asia	False
Asia_10	Asia	False
Africa_01	Africa	False
Africa_02	Africa	False
Africa_03	Africa	False
Africa_04	Africa	False
Africa_05	Africa	False
Africa_06	Africa	False
Africa_07	Africa	False
Africa_08	Africa	False
Africa_09	Africa	False
Africa_10	Africa	False
Europe_01	Europe	False
Europe_02	Europe	False
Europe_03	Europe	False
Europe_04	Europe	False
Europe_05	Europe	False
Europe_06	Europe	False
Europe_07	Europe	False
Europe_08	Europe	False
Europe_09	Europe	False
Europe_10	Europe	False
MiddleEastNonAwassi_01	MiddleEastNonAwassi	False
MiddleEastNonAwassi_02	MiddleEastNonAwassi	False
MiddleEastNonAwassi_03	MiddleEastNonAwassi	False
MiddleEastNonAwassi_04	MiddleEastNonAwassi	False
MiddleEastNonAwassi_05	MiddleEastNonAwassi	False
MiddleEastNonAwassi_06	MiddleEastNonAwassi	False
MiddleEastNonAwassi_07	MiddleEastNonAwassi	False
MiddleEastNonAwassi_08	MiddleEastNonAwassi	False
MiddleEastNonAwassi_09	MiddleEastNonAwassi	False
MiddleEastNonAwassi_10	MiddleEastNonAwassi	False
OCAN_01	Ovis_canadensis	False
OCAN_02	Ovis_canadensis	False
OCAN_03	Ovis_canadensis	False
OCAN_04	Ovis_canadensis	False
